Table 1
LSOAcode,LSOAname,houseprice
E01008459,Newcastle upon Tyne 004E,"60,000"
E01008460,Newcastle upon Tyne 004F,"87,500"
E01033543,Newcastle upon Tyne 024G,"159,000"
E01033545,Newcastle upon Tyne 024H,"125,295"
E01033547,Newcastle upon Tyne 025E,"133,500"
E01033548,Newcastle upon Tyne 023G,"171,750"
E01033550,Newcastle upon Tyne 002F,"296,500"
E01033551,Newcastle upon Tyne 002G,"300,000"
E01033553,Newcastle upon Tyne 023H,"129,950"
E01033554,Newcastle upon Tyne 024I,"143,500"
E01033556,Newcastle upon Tyne 022H,"150,000"
E01008461,North Tyneside 021A,"95,000"
E01008462,North Tyneside 024A,"116,500"
E01008463,North Tyneside 024B,"107,500"
E01008464,North Tyneside 024C,"120,925"
E01008465,North Tyneside 024D,"144,000"
E01008466,North Tyneside 021B,"208,000"
E01008467,North Tyneside 021C,"117,000"
E01008468,North Tyneside 021D,"120,000"
E01008469,North Tyneside 018A,"250,000"
E01008470,North Tyneside 014A,"150,000"
E01008471,North Tyneside 019A,"126,000"
E01008472,North Tyneside 018B,"207,500"
E01008473,North Tyneside 018C,"252,500"
E01008474,North Tyneside 019B,"139,000"
E01008475,North Tyneside 008A,"161,000"
E01008476,North Tyneside 008B,"86,750"
E01008477,North Tyneside 008C,"109,000"
E01008478,North Tyneside 002A,"98,500"
E01008479,North Tyneside 008D,"105,000"
E01008480,North Tyneside 002B,"90,000"
E01008481,North Tyneside 023A,"105,000"
E01008482,North Tyneside 023B,"115,500"
E01008483,North Tyneside 022A,"88,000"
E01008484,North Tyneside 023C,"71,000"
E01008485,North Tyneside 023D,null
E01008486,North Tyneside 020A,"128,500"
E01008487,North Tyneside 020B,"134,000"
E01008488,North Tyneside 015A,"112,000"
E01008489,North Tyneside 015B,"116,750"
E01008490,North Tyneside 015C,"125,000"
E01008491,North Tyneside 015D,"118,500"
E01008492,North Tyneside 023E,"118,500"
E01008493,North Tyneside 013A,"275,000"
E01008494,North Tyneside 013B,"175,000"
E01008495,North Tyneside 010A,"285,000"
E01008496,North Tyneside 010B,"175,500"
E01008497,North Tyneside 010C,"236,000"
E01008498,North Tyneside 010D,"222,500"
E01008499,North Tyneside 014B,"135,000"
E01008500,North Tyneside 012A,"130,000"
E01008501,North Tyneside 018D,"285,000"
E01008502,North Tyneside 014C,"135,300"
E01008503,North Tyneside 018E,"135,000"
E01008504,North Tyneside 002C,"185,500"
E01008505,North Tyneside 012B,"145,000"
E01008506,North Tyneside 012C,"116,500"
E01008507,North Tyneside 012D,"196,000"
E01008508,North Tyneside 026A,"115,000"
E01008509,North Tyneside 026B,"102,750"
E01008510,North Tyneside 026C,"92,250"
E01008511,North Tyneside 028A,"115,000"
E01008512,North Tyneside 026D,"110,500"
E01008513,North Tyneside 019C,"140,000"
E01008514,North Tyneside 019D,"130,500"
E01008516,North Tyneside 014D,"289,995"
E01008517,North Tyneside 005A,"250,000"
E01008518,North Tyneside 007A,"207,500"
E01008519,North Tyneside 005B,"200,000"
E01008520,North Tyneside 003A,"330,000"
E01008521,North Tyneside 005C,"194,750"
E01008522,North Tyneside 005D,"246,500"
E01008523,North Tyneside 003B,"327,500"
E01008524,North Tyneside 022B,"120,000"
E01008525,North Tyneside 017A,"200,000"
E01008526,North Tyneside 020C,"230,000"
E01008527,North Tyneside 017B,"140,000"
E01008528,North Tyneside 022C,"130,000"
E01008529,North Tyneside 022D,"155,000"
E01008530,North Tyneside 020D,"187,500"
E01008531,North Tyneside 025A,"131,750"
E01008532,North Tyneside 025B,"109,000"
E01008533,North Tyneside 030A,"108,500"
E01008534,North Tyneside 025C,"129,950"
E01008535,North Tyneside 030B,"135,000"
E01008536,North Tyneside 030C,"81,000"
E01008537,North Tyneside 030D,"92,475"
E01008538,North Tyneside 025D,"214,475"
E01008539,North Tyneside 027A,"190,000"
E01008540,North Tyneside 027B,"79,050"
E01008541,North Tyneside 027C,"101,000"
E01008542,North Tyneside 028B,"98,250"
E01008543,North Tyneside 028C,"120,000"
E01008544,North Tyneside 027D,"109,500"
E01008545,North Tyneside 027E,"94,000"
E01008546,North Tyneside 003C,"310,000"
E01008547,North Tyneside 001A,"320,000"
E01008548,North Tyneside 001B,"414,998"
E01008549,North Tyneside 001C,"270,000"
E01008550,North Tyneside 003D,"320,000"
E01008551,North Tyneside 001D,"388,750"
E01008552,North Tyneside 009A,"203,000"
E01008553,North Tyneside 009B,"136,000"
E01008554,North Tyneside 009C,"184,750"
E01008555,North Tyneside 009D,"183,750"
E01008556,North Tyneside 013C,"206,000"
E01008557,North Tyneside 013D,"245,000"
E01008558,North Tyneside 016A,"163,500"
E01008559,North Tyneside 017C,"145,000"
E01008560,North Tyneside 016B,"266,510"
E01008561,North Tyneside 016C,"182,500"
E01008562,North Tyneside 016D,"231,250"
E01008563,North Tyneside 017D,"402,750"
E01008564,North Tyneside 007B,"191,250"
E01008565,North Tyneside 007C,"255,000"
E01008567,North Tyneside 007D,"105,000"
E01008568,North Tyneside 011B,"136,000"
E01008569,North Tyneside 011C,"119,950"
E01008570,North Tyneside 011D,"100,000"
E01008571,North Tyneside 028D,"130,500"
E01008572,North Tyneside 029A,"68,000"
E01008573,North Tyneside 029B,"79,000"
E01008574,North Tyneside 029C,"150,000"
E01008575,North Tyneside 030E,"85,000"
E01008576,North Tyneside 029D,"133,000"
E01008577,North Tyneside 004A,"169,975"
E01008578,North Tyneside 002D,"117,000"
E01008579,North Tyneside 004B,"169,000"
E01008580,North Tyneside 004C,"173,500"
E01008581,North Tyneside 004D,"181,500"
E01008582,North Tyneside 004E,"99,500"
E01008583,North Tyneside 002E,"89,950"
E01008584,North Tyneside 006A,"194,000"
E01008585,North Tyneside 006B,"205,000"
E01008586,North Tyneside 009E,"222,500"
E01008587,North Tyneside 006C,"172,255"
E01008588,North Tyneside 006D,"145,475"
E01008589,North Tyneside 006E,"267,000"
E01032647,North Tyneside 011E,"284,250"
E01032648,North Tyneside 011F,"116,250"
E01032649,North Tyneside 019F,"155,000"
E01032650,North Tyneside 019G,null
E01008590,South Tyneside 011A,"100,000"
E01008591,South Tyneside 011B,"83,000"
E01008592,South Tyneside 011C,"65,500"
E01008593,South Tyneside 016A,null
E01008594,South Tyneside 011D,"95,000"
E01008595,South Tyneside 001A,"87,500"
E01008596,South Tyneside 001B,"95,000"
E01008597,South Tyneside 001C,"141,250"
E01008598,South Tyneside 001D,"146,084"
E01008599,South Tyneside 001E,"116,000"
E01008600,South Tyneside 007A,"69,500"
E01008601,South Tyneside 012A,"105,000"
E01008602,South Tyneside 014A,"91,000"
E01008603,South Tyneside 014B,"102,500"
E01008604,South Tyneside 007B,"85,000"
E01008605,South Tyneside 016B,"123,975"
E01008606,South Tyneside 016C,"97,950"
E01008607,South Tyneside 016D,null
E01008608,South Tyneside 014C,"79,500"
E01008609,South Tyneside 016E,"90,000"
E01008610,South Tyneside 021A,"114,000"
E01008611,South Tyneside 021B,"207,000"
E01008612,South Tyneside 021C,"180,000"
E01008613,South Tyneside 021D,"109,000"
